date,time,type,description,latitude,longitude,district,address
2026-03-12,23:50:00,assault,construction site,26.819609,80.952967,Lucknow,"311 {p} {s}, Lucknow"
2026-01-22,00:47:00,burglary,construction site,22.599856,88.386442,Kolkata,"231 {p} {s}, Kolkata"
2026-03-18,20:44:00,robbery,bazaar,26.887138,80.915839,Lucknow,"165 {p} {s}, Lucknow"
2026-03-10,10:46:00,murder,school,26.889889,80.933082,Lucknow,"416 {p} {s}, Lucknow"
2026-02-25,21:30:00,theft,bridge,26.904925,75.799668,Jaipur,"463 {p} {s}, Jaipur"
2026-03-26,00:20:00,theft,office complex,13.058849,80.230715,Chennai,"353 {p} {s}, Chennai"
2026-02-03,12:30:00,murder,temple,17.391181,78.456517,Hyderabad,"24 {p} {s}, Hyderabad"
2026-03-08,05:05:00,robbery,industrial area,18.544447,73.802469,Pune,"91 {p} {s}, Pune"
2026-02-09,07:57:00,fraud,village,19.046152,72.916237,Mumbai,"125 {p} {s}, Mumbai"
2026-01-15,20:19:00,fraud,school,13.036703,80.238734,Chennai,"211 {p} {s}, Chennai"
2026-02-06,08:25:00,theft,market,17.342625,78.487045,Hyderabad,"444 {p} {s}, Hyderabad"
2026-03-17,06:08:00,assault,main road,22.561625,88.320129,Kolkata,"336 {p} {s}, Kolkata"
2026-02-26,12:24:00,theft,hospital,17.367536,78.477366,Hyderabad,"494 {p} {s}, Hyderabad"
2026-01-25,03:30:00,fraud,bazaar,12.991768,77.554816,Bangalore,"173 {p} {s}, Bangalore"
2026-02-11,18:05:00,robbery,railway station,17.383201,78.48342,Hyderabad,"320 {p} {s}, Hyderabad"
2026-01-01,12:57:00,murder,hospital,26.884379,75.751535,Jaipur,"422 {p} {s}, Jaipur"
2026-01-05,05:23:00,murder,village,17.390363,78.438534,Hyderabad,"387 {p} {s}, Hyderabad"
2026-02-16,20:25:00,assault,bazaar,26.867843,75.749043,Jaipur,"51 {p} {s}, Jaipur"
2026-03-13,23:54:00,murder,park,12.951204,77.548833,Bangalore,"279 {p} {s}, Bangalore"
2026-01-29,18:25:00,theft,bridge,19.102489,72.836901,Mumbai,"194 {p} {s}, Mumbai"
2026-01-19,14:11:00,fraud,bazaar,23.012438,72.567701,Ahmedabad,"332 {p} {s}, Ahmedabad"
2026-02-22,07:08:00,fraud,mohalla,13.036795,80.246793,Chennai,"173 {p} {s}, Chennai"
2026-03-18,11:57:00,assault,slum area,22.548138,88.319366,Kolkata,"289 {p} {s}, Kolkata"
2026-01-06,08:09:00,fraud,mosque,26.832509,80.928894,Lucknow,"476 {p} {s}, Lucknow"
2026-02-24,22:33:00,fraud,village,19.083959,72.903959,Mumbai,"418 {p} {s}, Mumbai"
2026-01-18,08:20:00,theft,village,13.036309,80.306321,Chennai,"38 {p} {s}, Chennai"
2026-03-29,09:24:00,murder,village,28.563503,77.179672,Delhi,"367 {p} {s}, Delhi"
2026-03-20,17:23:00,murder,park,19.069804,72.904087,Mumbai,"244 {p} {s}, Mumbai"
2026-02-20,23:47:00,assault,school,22.985263,72.614252,Ahmedabad,"142 {p} {s}, Ahmedabad"
2026-02-10,22:55:00,burglary,bazaar,12.925267,77.629373,Bangalore,"10 {p} {s}, Bangalore"
2026-03-03,01:29:00,kidnapping,bazaar,12.931403,77.577123,Bangalore,"411 {p} {s}, Bangalore"
2026-02-06,20:34:00,theft,market,13.063379,80.274508,Chennai,"496 {p} {s}, Chennai"
2026-02-06,17:38:00,robbery,market,23.058057,72.545725,Ahmedabad,"3 {p} {s}, Ahmedabad"
2026-01-07,20:43:00,theft,main road,26.80933,80.95955,Lucknow,"47 {p} {s}, Lucknow"
2026-01-25,21:21:00,murder,bazaar,18.566703,73.815643,Pune,"150 {p} {s}, Pune"
2026-02-03,04:04:00,assault,mosque,22.599373,88.326559,Kolkata,"123 {p} {s}, Kolkata"
2026-02-18,09:28:00,hit and run,mosque,23.006949,72.532367,Ahmedabad,"183 {p} {s}, Ahmedabad"
2026-01-05,13:28:00,robbery,village,23.029557,72.55954,Ahmedabad,"473 {p} {s}, Ahmedabad"
2026-02-03,08:33:00,theft,bazaar,23.035119,72.523756,Ahmedabad,"7 {p} {s}, Ahmedabad"
2026-03-06,13:07:00,hit and run,residential area,13.0458,80.265674,Chennai,"371 {p} {s}, Chennai"
2026-01-07,03:27:00,assault,market,22.521871,88.356592,Kolkata,"387 {p} {s}, Kolkata"
2026-03-01,15:32:00,theft,mosque,18.47642,73.836844,Pune,"49 {p} {s}, Pune"
2026-01-03,21:52:00,kidnapping,highway,22.561072,88.374326,Kolkata,"149 {p} {s}, Kolkata"
2026-02-26,12:43:00,fraud,bus stand,26.879575,75.783524,Jaipur,"436 {p} {s}, Jaipur"
2026-02-13,01:50:00,robbery,temple,12.943967,77.549386,Bangalore,"273 {p} {s}, Bangalore"
2026-01-13,16:46:00,rape,bus stand,17.370591,78.470839,Hyderabad,"471 {p} {s}, Hyderabad"
2026-03-01,23:05:00,rape,railway station,13.046753,80.222532,Chennai,"338 {p} {s}, Chennai"
2026-01-03,10:49:00,burglary,market,18.484168,73.828805,Pune,"279 {p} {s}, Pune"
2026-03-21,11:09:00,assault,residential area,19.036401,72.903198,Mumbai,"349 {p} {s}, Mumbai"
2026-01-09,11:13:00,hit and run,mosque,28.612407,77.217413,Delhi,"432 {p} {s}, Delhi"
2026-01-05,05:34:00,theft,bus stand,17.365121,78.440622,Hyderabad,"91 {p} {s}, Hyderabad"
2026-02-20,02:48:00,burglary,mosque,19.093911,72.852198,Mumbai,"208 {p} {s}, Mumbai"
2026-03-15,19:45:00,assault,construction site,22.978397,72.550986,Ahmedabad,"469 {p} {s}, Ahmedabad"
2026-02-07,11:32:00,hit and run,residential area,13.083357,80.237211,Chennai,"65 {p} {s}, Chennai"
2026-01-29,06:38:00,theft,mohalla,12.949434,77.5756,Bangalore,"260 {p} {s}, Bangalore"
2026-03-10,11:04:00,murder,industrial area,28.659988,77.234464,Delhi,"251 {p} {s}, Delhi"
2026-03-05,09:28:00,burglary,office complex,18.564817,73.860575,Pune,"204 {p} {s}, Pune"
2026-02-24,09:33:00,theft,mall,13.067686,80.299158,Chennai,"284 {p} {s}, Chennai"
2026-01-11,10:54:00,hit and run,school,18.504694,73.80324,Pune,"480 {p} {s}, Pune"
2026-02-11,10:09:00,assault,bridge,12.940115,77.544228,Bangalore,"44 {p} {s}, Bangalore"
2026-01-20,10:58:00,theft,mohalla,19.081226,72.895212,Mumbai,"338 {p} {s}, Mumbai"
2026-01-09,11:55:00,fraud,hospital,23.059142,72.608664,Ahmedabad,"288 {p} {s}, Ahmedabad"
2026-03-19,08:27:00,theft,residential area,13.085901,80.272804,Chennai,"402 {p} {s}, Chennai"
2026-02-10,20:19:00,fraud,hospital,26.91534,75.758963,Jaipur,"243 {p} {s}, Jaipur"
2026-01-28,03:07:00,assault,village,19.075389,72.850344,Mumbai,"65 {p} {s}, Mumbai"
2026-03-11,14:44:00,robbery,office complex,13.053172,80.282707,Chennai,"80 {p} {s}, Chennai"
2026-02-14,09:05:00,hit and run,industrial area,26.892634,75.839367,Jaipur,"469 {p} {s}, Jaipur"
2026-03-29,21:54:00,theft,mall,19.03098,72.856271,Mumbai,"212 {p} {s}, Mumbai"
2026-01-08,00:20:00,fraud,slum area,26.82672,80.909984,Lucknow,"288 {p} {s}, Lucknow"
2026-02-09,16:05:00,assault,mosque,26.858789,80.969172,Lucknow,"19 {p} {s}, Lucknow"
2026-03-25,23:20:00,kidnapping,highway,13.083962,80.260833,Chennai,"323 {p} {s}, Chennai"
2026-02-06,00:34:00,assault,park,13.005544,77.635584,Bangalore,"183 {p} {s}, Bangalore"
2026-02-02,13:53:00,robbery,bazaar,28.634198,77.187855,Delhi,"398 {p} {s}, Delhi"
2026-03-17,09:11:00,assault,construction site,13.108837,80.279265,Chennai,"192 {p} {s}, Chennai"
2026-01-27,12:10:00,robbery,mohalla,26.875099,80.972718,Lucknow,"329 {p} {s}, Lucknow"
2026-01-26,09:22:00,assault,temple,17.360138,78.431184,Hyderabad,"420 {p} {s}, Hyderabad"
2026-03-22,11:32:00,robbery,main road,26.865364,75.7857,Jaipur,"161 {p} {s}, Jaipur"
2026-02-28,06:33:00,murder,construction site,13.119419,80.319833,Chennai,"259 {p} {s}, Chennai"
2026-01-01,23:29:00,hit and run,market,22.564033,88.327035,Kolkata,"390 {p} {s}, Kolkata"
2026-02-09,20:32:00,robbery,hospital,19.022675,72.820088,Mumbai,"12 {p} {s}, Mumbai"
2026-02-02,14:38:00,assault,bridge,22.616656,88.31965,Kolkata,"250 {p} {s}, Kolkata"
2026-01-15,23:59:00,hit and run,bridge,19.021081,72.834195,Mumbai,"143 {p} {s}, Mumbai"
2026-01-21,03:09:00,dowry death,mosque,13.100389,80.246055,Chennai,"400 {p} {s}, Chennai"
2026-02-07,05:03:00,robbery,market,23.043612,72.534911,Ahmedabad,"182 {p} {s}, Ahmedabad"
2026-02-17,15:21:00,theft,industrial area,26.875376,80.962361,Lucknow,"335 {p} {s}, Lucknow"
2026-02-25,03:56:00,rape,school,28.628084,77.234814,Delhi,"156 {p} {s}, Delhi"
2026-01-28,00:25:00,theft,mohalla,26.943691,75.740376,Jaipur,"177 {p} {s}, Jaipur"
2026-01-31,15:24:00,theft,market,22.535441,88.353089,Kolkata,"136 {p} {s}, Kolkata"
2026-03-02,15:20:00,assault,village,26.867071,75.836211,Jaipur,"13 {p} {s}, Jaipur"
2026-03-03,02:31:00,burglary,highway,26.88997,75.763868,Jaipur,"4 {p} {s}, Jaipur"
2026-02-16,12:56:00,theft,main road,19.062004,72.855611,Mumbai,"458 {p} {s}, Mumbai"
2026-01-17,05:52:00,robbery,residential area,22.615719,88.348141,Kolkata,"235 {p} {s}, Kolkata"
2026-02-08,09:31:00,theft,mohalla,18.550938,73.866225,Pune,"378 {p} {s}, Pune"
2026-03-10,09:12:00,dowry death,industrial area,28.565016,77.226003,Delhi,"448 {p} {s}, Delhi"
2026-03-03,05:09:00,theft,bus stand,26.806414,80.978412,Lucknow,"410 {p} {s}, Lucknow"
2026-03-17,02:01:00,murder,bazaar,13.057271,80.254294,Chennai,"182 {p} {s}, Chennai"
2026-01-29,14:36:00,fraud,mohalla,18.559884,73.804457,Pune,"234 {p} {s}, Pune"
2026-02-24,22:34:00,hit and run,office complex,26.816125,80.962552,Lucknow,"354 {p} {s}, Lucknow"
2026-03-20,16:50:00,robbery,bus stand,17.360592,78.510348,Hyderabad,"368 {p} {s}, Hyderabad"
2026-01-24,06:02:00,robbery,temple,17.342933,78.475902,Hyderabad,"442 {p} {s}, Hyderabad"
2026-03-21,20:38:00,theft,office complex,22.543716,88.34092,Kolkata,"361 {p} {s}, Kolkata"
2026-03-14,15:24:00,robbery,main road,26.851835,80.92229,Lucknow,"131 {p} {s}, Lucknow"
2026-02-16,23:01:00,dowry death,highway,12.965186,77.609358,Bangalore,"307 {p} {s}, Bangalore"
2026-02-22,23:08:00,theft,railway station,28.64589,77.17633,Delhi,"81 {p} {s}, Delhi"
2026-01-02,12:59:00,robbery,temple,22.569152,88.327797,Kolkata,"102 {p} {s}, Kolkata"
2026-02-07,14:29:00,theft,mall,28.57159,77.172483,Delhi,"273 {p} {s}, Delhi"
2026-03-19,15:59:00,theft,industrial area,28.570697,77.233806,Delhi,"187 {p} {s}, Delhi"
2026-02-13,01:29:00,theft,market,17.347816,78.490272,Hyderabad,"334 {p} {s}, Hyderabad"
2026-02-23,01:04:00,murder,bridge,23.032338,72.570661,Ahmedabad,"312 {p} {s}, Ahmedabad"
2026-03-03,21:16:00,assault,temple,26.911316,75.766552,Jaipur,"335 {p} {s}, Jaipur"
2026-01-20,15:50:00,robbery,industrial area,26.817139,80.908369,Lucknow,"184 {p} {s}, Lucknow"
2026-03-14,14:11:00,burglary,market,13.005566,77.545761,Bangalore,"454 {p} {s}, Bangalore"
2026-01-14,10:13:00,burglary,office complex,18.518393,73.804109,Pune,"306 {p} {s}, Pune"
2026-03-14,02:56:00,robbery,village,12.960575,77.559324,Bangalore,"447 {p} {s}, Bangalore"
2026-01-10,02:48:00,theft,highway,28.619349,77.167133,Delhi,"435 {p} {s}, Delhi"
2026-03-27,11:50:00,fraud,bridge,18.488876,73.872726,Pune,"281 {p} {s}, Pune"
2026-01-31,10:40:00,burglary,market,18.546777,73.853216,Pune,"291 {p} {s}, Pune"
2026-01-02,17:04:00,hit and run,market,22.996074,72.568417,Ahmedabad,"314 {p} {s}, Ahmedabad"
2026-03-31,21:50:00,fraud,hospital,12.929476,77.594082,Bangalore,"175 {p} {s}, Bangalore"
2026-01-08,10:45:00,robbery,railway station,17.398829,78.512889,Hyderabad,"17 {p} {s}, Hyderabad"
2026-03-27,06:27:00,rape,residential area,22.999016,72.557694,Ahmedabad,"468 {p} {s}, Ahmedabad"
2026-02-25,12:28:00,dowry death,railway station,12.97653,77.601063,Bangalore,"85 {p} {s}, Bangalore"
2026-01-22,21:16:00,hit and run,park,12.955669,77.561429,Bangalore,"28 {p} {s}, Bangalore"
2026-03-24,09:40:00,assault,school,28.610077,77.184397,Delhi,"178 {p} {s}, Delhi"
2026-03-16,13:34:00,murder,main road,19.096325,72.913903,Mumbai,"471 {p} {s}, Mumbai"
2026-03-13,22:41:00,fraud,village,26.885947,75.763676,Jaipur,"481 {p} {s}, Jaipur"
2026-02-13,00:12:00,fraud,mall,12.971271,77.619035,Bangalore,"27 {p} {s}, Bangalore"
2026-02-04,02:19:00,burglary,hospital,13.01517,77.598698,Bangalore,"346 {p} {s}, Bangalore"
2026-03-13,23:57:00,dowry death,railway station,23.028759,72.549672,Ahmedabad,"464 {p} {s}, Ahmedabad"
2026-01-06,06:47:00,dowry death,industrial area,23.011068,72.553623,Ahmedabad,"59 {p} {s}, Ahmedabad"
2026-03-26,20:07:00,assault,railway station,17.379671,78.507937,Hyderabad,"479 {p} {s}, Hyderabad"
2026-03-31,09:34:00,theft,residential area,12.932306,77.578294,Bangalore,"175 {p} {s}, Bangalore"
2026-02-23,03:05:00,murder,mosque,22.609649,88.33014,Kolkata,"63 {p} {s}, Kolkata"
2026-01-05,13:47:00,burglary,school,26.879528,75.773985,Jaipur,"305 {p} {s}, Jaipur"
2026-01-30,23:12:00,rape,residential area,22.983186,72.548348,Ahmedabad,"119 {p} {s}, Ahmedabad"
2026-02-13,08:58:00,burglary,highway,19.10822,72.859416,Mumbai,"455 {p} {s}, Mumbai"
2026-02-12,08:49:00,burglary,main road,13.062506,80.279565,Chennai,"261 {p} {s}, Chennai"
2026-02-28,06:02:00,murder,bridge,28.586459,77.166151,Delhi,"29 {p} {s}, Delhi"
2026-02-09,06:31:00,burglary,residential area,26.873467,80.915306,Lucknow,"241 {p} {s}, Lucknow"
2026-01-12,15:51:00,kidnapping,mosque,23.054429,72.530053,Ahmedabad,"35 {p} {s}, Ahmedabad"
2026-01-27,10:39:00,murder,temple,17.423366,78.435205,Hyderabad,"86 {p} {s}, Hyderabad"
2026-02-04,16:33:00,fraud,residential area,22.524319,88.394906,Kolkata,"447 {p} {s}, Kolkata"
2026-01-25,14:32:00,robbery,bus stand,23.010008,72.531639,Ahmedabad,"409 {p} {s}, Ahmedabad"
2026-03-16,03:04:00,kidnapping,hospital,12.938965,77.554505,Bangalore,"358 {p} {s}, Bangalore"
2026-01-18,08:46:00,robbery,mohalla,23.013298,72.609156,Ahmedabad,"158 {p} {s}, Ahmedabad"
2026-03-20,13:24:00,theft,residential area,13.081059,80.304052,Chennai,"86 {p} {s}, Chennai"
2026-02-02,06:38:00,dowry death,temple,26.931377,75.838744,Jaipur,"130 {p} {s}, Jaipur"
2026-03-14,09:30:00,theft,industrial area,19.050734,72.827966,Mumbai,"428 {p} {s}, Mumbai"
2026-03-31,20:19:00,murder,temple,22.586542,88.363231,Kolkata,"44 {p} {s}, Kolkata"
2026-02-26,17:02:00,robbery,market,12.950407,77.63474,Bangalore,"224 {p} {s}, Bangalore"
2026-03-05,11:37:00,hit and run,railway station,12.923245,77.580979,Bangalore,"20 {p} {s}, Bangalore"
2026-01-09,13:24:00,dowry death,school,28.583638,77.186352,Delhi,"422 {p} {s}, Delhi"
2026-02-09,17:35:00,burglary,mohalla,22.601045,88.405583,Kolkata,"305 {p} {s}, Kolkata"
2026-02-26,09:28:00,theft,main road,19.025159,72.875985,Mumbai,"246 {p} {s}, Mumbai"
2026-02-07,02:09:00,robbery,temple,26.793848,80.957534,Lucknow,"480 {p} {s}, Lucknow"
2026-01-23,08:06:00,fraud,bus stand,17.36952,78.465327,Hyderabad,"458 {p} {s}, Hyderabad"
2026-01-03,18:38:00,dowry death,residential area,28.604041,77.194885,Delhi,"200 {p} {s}, Delhi"
2026-02-02,13:54:00,murder,office complex,13.079302,80.223989,Chennai,"166 {p} {s}, Chennai"
2026-03-18,19:30:00,robbery,temple,19.069375,72.864415,Mumbai,"467 {p} {s}, Mumbai"
2026-02-07,01:14:00,rape,bus stand,22.994926,72.590648,Ahmedabad,"392 {p} {s}, Ahmedabad"
2026-01-23,16:08:00,fraud,slum area,13.113759,80.242327,Chennai,"305 {p} {s}, Chennai"
2026-02-18,05:48:00,theft,hospital,18.490599,73.888735,Pune,"496 {p} {s}, Pune"
2026-02-23,18:20:00,assault,main road,22.581346,88.335956,Kolkata,"491 {p} {s}, Kolkata"
